Model,Fold,Task,Train/Test,Type,AUC
SVM,4,4,test,image,0.89
SVM,4,4,test,text,0.7300000000000001
SVM,4,5,train,total,0.9474305555555556
SVM,4,5,train,image,1.0
SVM,4,5,train,text,0.975625
SVM,4,5,test,total,0.9500000000000001
SVM,4,5,test,image,1.0
SVM,4,5,test,text,0.96
SVM,4,AVG,train,total,0.8381134259259259
SVM,4,AVG,train,image,0.9407552083333334
SVM,4,AVG,train,text,0.8714583333333333
SVM,4,AVG,test,total,0.8164814814814815
SVM,4,AVG,test,image,0.91
SVM,4,AVG,test,text,0.8733333333333334
SVM,AVG,0,train,total,0.8207361111111112
SVM,AVG,0,train,image,0.8940625000000001
SVM,AVG,0,train,text,0.8379999999999999
SVM,AVG,0,test,total,0.7497777777777778
SVM,AVG,0,test,image,0.8074999999999999
SVM,AVG,0,test,text,0.8119999999999999
SVM,AVG,1,train,total,0.8176666666666665
SVM,AVG,1,train,image,0.8855000000000001
SVM,AVG,1,train,text,0.9761249999999999
SVM,AVG,1,test,total,0.7831111111111111
SVM,AVG,1,test,image,0.8604999999999998
SVM,AVG,1,test,text,0.966
SVM,AVG,2,train,total,0.9648333333333333
SVM,AVG,2,train,image,0.9926562499999999
SVM,AVG,2,train,text,0.817375
SVM,AVG,2,test,total,0.9546666666666667
SVM,AVG,2,test,image,0.9884999999999999
SVM,AVG,2,test,text,0.778
SVM,AVG,3,train,total,0.7710277777777778
SVM,AVG,3,train,image,0.9385937500000001
SVM,AVG,3,train,text,0.8071249999999999
SVM,AVG,3,test,total,0.7433333333333334
SVM,AVG,3,test,image,0.9075
SVM,AVG,3,test,text,0.78
SVM,AVG,4,train,total,0.8078472222222223
SVM,AVG,4,train,image,0.97221875
SVM,AVG,4,train,text,0.7887500000000001
SVM,AVG,4,test,total,0.7782222222222224
SVM,AVG,4,test,image,0.9490000000000001
SVM,AVG,4,test,text,0.728
SVM,AVG,5,train,total,0.9714444444444446
SVM,AVG,5,train,image,1.0
SVM,AVG,5,train,text,0.9730000000000001
SVM,AVG,5,test,total,0.9511111111111111
SVM,AVG,5,test,image,1.0
SVM,AVG,5,test,text,0.9640000000000001
SVM,AVG,AVG,train,total,0.858925925925926
SVM,AVG,AVG,train,image,0.947171875
SVM,AVG,AVG,train,text,0.8667291666666668
SVM,AVG,AVG,test,total,0.8267037037037037
SVM,AVG,AVG,test,image,0.9188333333333334
SVM,AVG,AVG,test,text,0.8380000000000002
